Group (g),Time (t),"ATT(g,t)",Std. Error,CI Lower,CI Upper,Significant
1976.0,1976,4.625038782755533,8.204548664184534,-11.455876599046151,20.70595416455722,
1976.0,1977,33.10783449808758,3.451435393262494,26.34302112729309,39.87264786888207,***
1976.0,1978,1.5465952555338547,1.9217466363373916,-2.2200281516874325,5.313218662755142,
1976.0,1979,0.012767155965169863,1.6928678827294643,-3.30525389418458,3.33078820611492,
1976.0,1980,-5.505983352661133,2.3230208907484062,-10.059104298528009,-0.9528624067942566,***
1976.0,1981,-8.290794372558594,3.6002203958774657,-15.347226348478426,-1.234362396638761,***
1976.0,1982,-15.22905158996582,1.1740213078871087,-17.530133353424553,-12.927969826507088,***
1976.0,1983,-17.375631332397464,2.367893941160958,-22.016703457072943,-12.734559207721986,***
1976.0,1984,-14.766845703125,0.0,-14.766845703125,-14.766845703125,***
1977.0,1965,6.999377799756596,10.365829278432033,-13.317647585970187,27.31640318548338,
1977.0,1966,-12.45983418551358,7.644023319445123,-27.44211989162602,2.5224515205988602,
1977.0,1967,10.54148714470141,6.462493070061949,-2.124999272620011,23.20797356202283,
1977.0,1968,-13.946593429103043,11.599700977953688,-36.68200734589227,8.788820487686184,
1977.0,1969,13.439888943908036,10.590874039147385,-7.318224172820839,34.19800206063691,
1977.0,1970,2.3965131386943255,5.333471790977618,-8.057091571621806,12.850117849010458,
1977.0,1971,1.8234730344830152,9.831379663293818,-17.446031105572867,21.0929771745389,
1977.0,1972,3.928434606184043,7.621558176997817,-11.009819420731677,18.866688633099763,
1977.0,1973,2.45810678270128,6.589403002847244,-10.457123102879317,15.373336668281878,
1977.0,1974,-13.785380999247238,8.587210655606945,-30.61631388423685,3.0455518857423733,
1977.0,1975,-1.071212768554691,3.5764775478493873,-8.08110876233949,5.938683225230108,
1977.0,1976,0.49636459350586176,16.40781030289973,-31.66294360017761,32.65567278718933,
1977.0,1977,4.713046391805023,16.914614199066566,-28.439597438365446,37.86569022197549,
1977.0,1978,-14.083264668782553,13.498883825348196,-40.54107696646501,12.37454762889991,
1977.0,1979,-1.739402770996093,24.313843597710676,-49.39453622250902,45.91573068051683,
1977.0,1980,-5.435892105102541,19.00742052873421,-42.690436341421595,31.818652131216517,
1977.0,1981,-4.5564117431640625,15.95983306625722,-35.83768455302821,26.72486106670009,
1977.0,1982,-16.13133430480957,14.187607246891721,-43.939044508717345,11.676375899098204,
1977.0,1983,1.4881788889566998,26.037148142477182,-49.54463147029858,52.520989248211976,
1977.0,1984,-1.5901171366373674,19.513078127771546,-39.8357502670696,36.655515993794864,
1980.0,1965,-6.330945532662528,2.015407882581097,-10.281144982521479,-2.3807460828035785,***
1980.0,1966,1.3692174094063894,2.095786471130372,-2.738524074009139,5.476958892821918,
1980.0,1967,-0.0849806649344317,2.429661354438536,-4.8471169196339625,4.677155589765099,
1980.0,1968,3.553196389334543,2.200510562312023,-0.759804312797022,7.866197091466108,
1980.0,1969,-8.191604729854701,2.066948624827926,-12.242824034517437,-4.140385425191966,***
1980.0,1970,9.180043866557458,1.9802713233928078,5.298712072707556,13.06137566040736,***
1980.0,1971,-9.275159517923992,3.1110149770317257,-15.372748872906175,-3.1775701629418096,***
1980.0,1972,6.81981640770322,3.580143789364664,-0.19726541945152132,13.836898234857962,
1980.0,1973,-0.2397081201726743,4.154767393172505,-8.383052210790783,7.9036359704454355,
1980.0,1974,-0.7033207416534428,5.9076548924339916,-12.282324330824066,10.875682847517181,
1980.0,1975,2.532688140869142,1.9147438744589733,-1.2202098530704455,6.28558613480873,
1980.0,1976,-1.2906501770019545,9.842557526529557,-20.582062928999886,18.000762574995978,
1980.0,1977,1.8934106826782244,4.408168518419344,-6.7465996134236885,10.533420978780137,
1980.0,1978,-7.604739189147951,5.323158275711253,-18.03812940954201,2.828651031246105,
1980.0,1979,8.62828540802002,2.5957109137234897,3.5406920171219793,13.715878798918059,***
1980.0,1980,-9.45125675201416,4.765675664679997,-18.791981054786955,-0.11053244924136507,***
1980.0,1981,-7.019644737243652,1.1575656219458745,-9.288473356257565,-4.750816118229738,***
1980.0,1982,-14.034924507141113,3.6166760818187,-21.123609627505765,-6.946239386776462,***
1980.0,1983,-5.628731727600101,0.0747608327706331,-5.775262959830542,-5.482200495369661,***
1980.0,1984,-7.14811897277832,0.0,-7.14811897277832,-7.14811897277832,***
1984.0,1965,1.9131519317626946,2.0227704106016464,-2.0514780730165323,5.877781936541922,
1984.0,1966,0.26889741080148016,2.0961374765825016,-3.8395320433002227,4.377326864903183,
1984.0,1967,-2.7781966073172435,2.428365597909185,-7.537793179219246,1.9813999645847598,
1984.0,1968,-2.3640791756766184,2.2018153149523836,-6.67963719298329,1.9514788416300535,
1984.0,1969,1.1261990865071607,2.0814967452509583,-2.9535345341847177,5.2059327071990396,
1984.0,1970,1.9666373960433456,2.001210712702851,-1.9557356008542421,5.889010392940934,
1984.0,1971,-11.377856413523357,3.0990269191981654,-17.45194917515176,-5.303763651894953,***
1984.0,1972,6.289289020356681,3.582305570790263,-0.7320298983922342,13.310607939105596,
1984.0,1973,2.615909056230025,4.148399439293869,-5.514953844785959,10.74677195724601,
1984.0,1974,-11.623374700546265,5.742596306305177,-22.878863460904412,-0.3678859401881187,***
1984.0,1975,4.7295786539713545,1.8098408719310044,1.1822905449865857,8.276866762956123,***
1984.0,1976,1.473555755615233,9.841676899483444,-17.816130967372317,20.763242478602784,
1984.0,1977,8.273640632629396,2.883001844356586,2.6229570176904877,13.924324247568304,***
1984.0,1978,-7.3318147659301784,5.388399691474448,-17.893078161220096,3.22944862935974,
1984.0,1979,1.1151762008666992,4.391687527612148,-7.49253135325311,9.722883754986508,
1984.0,1980,-13.290834426879883,0.0,-13.290834426879883,-13.290834426879883,***
1984.0,1981,16.51913070678711,0.0,16.51913070678711,16.51913070678711,***
1984.0,1982,-13.31472396850586,0.0,-13.31472396850586,-13.31472396850586,***
1984.0,1983,9.877929687500007,0.0,9.877929687500007,9.877929687500007,***
1984.0,1984,2.5200729370117045,0.0,2.5200729370117045,2.5200729370117045,***
